name,zone,club,grade,title,last_played,player_key,profile_url
Dave Mahoney,E1,NA,1030,NA,2022-06-08,e1 dave mahoney,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20dave%20mahoney
Thang Ngyuen,W1,NA,1030,NA,NA,w1 thang ngyuen,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20thang%20ngyuen
Brian Davies,W1,NA,1029,NA,NA,w1 brian davies,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20brian%20davies
Kritthik Baranidharan,E1,NA,1026,NA,NA,e1 kritthik baranidharan,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20kritthik%20baranidharan
Janet Evans,W1,NA,1026,NA,NA,w1 janet evans,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20janet%20evans
Andrew Thomas,G1,NA,1025,NA,NA,g1 andrew thomas,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20andrew%20thomas
Cian Grattidge,E1,NA,1020,NA,2022-04-26,e1 cian grattidge,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20cian%20grattidge
Ioan Phillips,W1,NA,1018,NA,NA,w1 ioan phillips,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20ioan%20phillips
Krishna Lee,E1,NA,1015,NA,NA,e1 krishna lee,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20krishna%20lee
Haydn Wilde,D1,NA,1012,NA,NA,d1 haydn wilde,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20haydn%20wilde
Joseph Setchfield,E1,NA,1011,NA,NA,e1 joseph setchfield,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20joseph%20setchfield
